Frequency,Name,Signal Level,Address,Channel
2.412,NAU,59,1C:E6:C7:E0:DB:41,1
2.412,NAU Guest,64,1C:E6:C7:E0:DB:40,1
5.805,NAU Guest,73,1C:E6:C7:E0:DB:4F,161
5.805,NAU,73,1C:E6:C7:E0:DB:4E,161
2.462,NAU,74,58:97:1E:57:5F:01,11
2.462,NAU Guest,75,58:97:1E:57:5F:00,11
2.412,NAU,79,1C:E6:C7:3F:7B:E1,1
5.2,NAU Guest,87,58:97:1E:57:5F:0F,40
5.2,NAU,87,58:97:1E:57:5F:0E,40
5.18,NAU Guest,90,58:97:1E:57:09:DF,36
5.18,NAU,90,58:97:1E:57:09:DE,36
5.66,NAU Guest,93,1C:E6:C7:E0:C5:5F,132
